order_id,date,time
1,2015-01-01,11:38:36
2,2015-01-01,11:57:40
3,2015-01-01,12:12:28
4,2015-01-01,12:16:31
5,2015-01-01,12:21:30
6,2015-01-01,12:29:36
7,2015-01-01,12:50:37
8,2015-01-01,12:51:37
9,2015-01-01,12:52:01
10,2015-01-01,13:00:15
11,2015-01-01,13:02:59
12,2015-01-01,13:04:41
13,2015-01-01,13:11:55
14,2015-01-01,13:14:19
15,2015-01-01,13:33:00
16,2015-01-01,13:34:07
17,2015-01-01,13:53:00
18,2015-01-01,13:57:08
19,2015-01-01,13:59:09
20,2015-01-01,14:03:08
21,2015-01-01,14:14:29
22,2015-01-01,14:16:26
23,2015-01-01,14:19:03
24,2015-01-01,14:23:01
25,2015-01-01,14:44:44
26,2015-01-01,14:54:26
27,2015-01-01,15:11:17
28,2015-01-01,15:35:46
29,2015-01-01,15:41:01
30,2015-01-01,15:41:25
31,2015-01-01,15:50:18
32,2015-01-01,15:53:18
33,2015-01-01,15:54:08
34,2015-01-01,16:21:21
35,2015-01-01,16:32:04
36,2015-01-01,16:54:09
37,2015-01-01,16:56:09
38,2015-01-01,17:03:00
39,2015-01-01,17:07:23
40,2015-01-01,17:14:36
41,2015-01-01,17:15:20
42,2015-01-01,17:28:09
43,2015-01-01,17:38:34
44,2015-01-01,17:54:20
45,2015-01-01,17:55:48
46,2015-01-01,18:25:51
47,2015-01-01,18:26:34
48,2015-01-01,18:26:42
49,2015-01-01,18:33:00
50,2015-01-01,18:41:01
51,2015-01-01,18:48:28
52,2015-01-01,18:53:02
53,2015-01-01,18:54:17
54,2015-01-01,19:01:45
55,2015-01-01,19:03:19
56,2015-01-01,19:07:00
57,2015-01-01,19:10:51
58,2015-01-01,19:30:40
59,2015-01-01,19:40:08
60,2015-01-01,20:05:16
61,2015-01-01,20:08:43
62,2015-01-01,20:50:16
63,2015-01-01,20:51:42
64,2015-01-01,20:52:08
65,2015-01-01,21:16:00
66,2015-01-01,21:47:55
67,2015-01-01,22:03:40
68,2015-01-01,22:07:32
69,2015-01-01,22:12:13
70,2015-01-02,11:38:51
71,2015-01-02,11:40:50
72,2015-01-02,11:57:25
73,2015-01-02,11:58:56
74,2015-01-02,12:01:12
75,2015-01-02,12:10:15
76,2015-01-02,12:21:17
77,2015-01-02,12:22:46
78,2015-01-02,12:28:14
79,2015-01-02,12:29:11
80,2015-01-02,12:35:38
81,2015-01-02,12:40:01
82,2015-01-02,12:45:51
83,2015-01-02,12:53:27
84,2015-01-02,13:13:41
85,2015-01-02,13:34:49
86,2015-01-02,13:40:31
87,2015-01-02,14:01:02
88,2015-01-02,14:10:08
89,2015-01-02,14:30:19
90,2015-01-02,15:08:48
91,2015-01-02,15:14:43
92,2015-01-02,15:17:02
93,2015-01-02,15:29:31
94,2015-01-02,16:17:16
95,2015-01-02,16:18:04
96,2015-01-02,16:21:20
97,2015-01-02,16:45:33
98,2015-01-02,17:18:18
99,2015-01-02,17:45:42
100,2015-01-02,17:46:17
101,2015-01-02,17:51:33
102,2015-01-02,17:54:04
103,2015-01-02,18:02:09
104,2015-01-02,18:02:12
105,2015-01-02,18:12:01
106,2015-01-02,18:12:13
107,2015-01-02,18:25:09
108,2015-01-02,18:25:25
109,2015-01-02,18:27:50
110,2015-01-02,18:36:19
111,2015-01-02,18:38:01
112,2015-01-02,18:41:40
113,2015-01-02,18:50:21
114,2015-01-02,18:59:32
115,2015-01-02,19:05:17
116,2015-01-02,19:18:49
117,2015-01-02,19:23:02
118,2015-01-02,19:26:59
119,2015-01-02,19:32:29
120,2015-01-02,19:35:07
121,2015-01-02,19:38:48
122,2015-01-02,19:50:19
123,2015-01-02,20:12:09
124,2015-01-02,20:12:34
125,2015-01-02,20:31:06
126,2015-01-02,20:53:42
127,2015-01-02,20:58:23
128,2015-01-02,21:05:06
129,2015-01-02,21:13:02
130,2015-01-02,21:14:55
131,2015-01-02,21:33:10
132,2015-01-02,21:42:45
133,2015-01-02,22:00:17
134,2015-01-02,22:13:24
135,2015-01-02,22:29:34
136,2015-01-02,22:32:49
137,2015-01-03,11:34:10
138,2015-01-03,11:44:50
139,2015-01-03,11:57:39
140,2015-01-03,12:26:44
141,2015-01-03,13:16:01
142,2015-01-03,13:33:59
143,2015-01-03,13:41:36
144,2015-01-03,13:44:28
145,2015-01-03,13:53:48
146,2015-01-03,14:22:10
147,2015-01-03,14:32:51
148,2015-01-03,14:40:42
149,2015-01-03,14:48:45
150,2015-01-03,14:49:58
151,2015-01-03,15:09:34
152,2015-01-03,15:09:42
153,2015-01-03,15:16:34
154,2015-01-03,15:22:43
155,2015-01-03,15:28:59
156,2015-01-03,15:42:19
157,2015-01-03,15:43:03
158,2015-01-03,15:54:30
159,2015-01-03,15:59:22
160,2015-01-03,16:35:33
161,2015-01-03,16:43:46
162,2015-01-03,16:51:22
163,2015-01-03,16:54:54
164,2015-01-03,16:56:33
165,2015-01-03,16:57:37
166,2015-01-03,16:58:51
167,2015-01-03,17:00:49
168,2015-01-03,17:02:27
169,2015-01-03,17:15:48
170,2015-01-03,17:21:31
171,2015-01-03,17:23:03
172,2015-01-03,17:29:24
173,2015-01-03,17:35:30
174,2015-01-03,17:37:49
175,2015-01-03,17:50:51
176,2015-01-03,17:51:57
177,2015-01-03,17:54:36
178,2015-01-03,18:15:03
179,2015-01-03,18:20:14
180,2015-01-03,18:33:34
181,2015-01-03,18:49:32
182,2015-01-03,18:50:10
183,2015-01-03,18:54:55
184,2015-01-03,18:59:05
185,2015-01-03,19:08:33
186,2015-01-03,19:36:00
187,2015-01-03,19:37:12
188,2015-01-03,20:08:39
189,2015-01-03,20:12:14
190,2015-01-03,20:14:23
191,2015-01-03,20:24:50
192,2015-01-03,20:30:08
193,2015-01-03,20:55:47
194,2015-01-03,21:21:24
195,2015-01-03,21:25:20
196,2015-01-03,21:40:14
197,2015-01-03,21:47:48
198,2015-01-03,21:55:42
199,2015-01-03,22:10:38
200,2015-01-03,22:24:05
201,2015-01-03,22:29:59
202,2015-01-03,22:50:29
203,2015-01-04,11:30:48
204,2015-01-04,11:36:25
205,2015-01-04,11:43:54
206,2015-01-04,11:45:10
207,2015-01-04,12:03:58
208,2015-01-04,12:12:05
209,2015-01-04,12:29:17
210,2015-01-04,12:34:13
211,2015-01-04,12:54:20
212,2015-01-04,13:16:03
213,2015-01-04,13:20:39
214,2015-01-04,13:39:16
215,2015-01-04,13:44:49
216,2015-01-04,14:31:56
217,2015-01-04,14:35:03
218,2015-01-04,14:35:11
219,2015-01-04,14:42:01
220,2015-01-04,15:31:59
221,2015-01-04,15:33:18
222,2015-01-04,15:46:38
223,2015-01-04,16:08:20
224,2015-01-04,16:39:58
225,2015-01-04,16:41:48
226,2015-01-04,16:59:39
227,2015-01-04,17:24:39
228,2015-01-04,17:31:24
229,2015-01-04,17:37:57
230,2015-01-04,17:58:38
231,2015-01-04,18:04:18
232,2015-01-04,18:21:59
233,2015-01-04,18:26:51
234,2015-01-04,18:36:09
235,2015-01-04,18:51:30
236,2015-01-04,19:21:04
237,2015-01-04,19:27:48
238,2015-01-04,19:45:15
239,2015-01-04,19:57:52
240,2015-01-04,20:10:24
241,2015-01-04,20:11:25
242,2015-01-04,20:15:29
243,2015-01-04,20:26:17
244,2015-01-04,20:26:22
245,2015-01-04,20:28:41
246,2015-01-04,20:30:48
247,2015-01-04,20:55:29
248,2015-01-04,20:58:19
249,2015-01-04,21:06:16
250,2015-01-04,21:07:05
251,2015-01-04,21:10:05
252,2015-01-04,22:13:15
253,2015-01-04,22:16:18
254,2015-01-04,22:22:13
255,2015-01-05,11:23:35
256,2015-01-05,11:56:06
257,2015-01-05,11:59:04
258,2015-01-05,11:59:23
259,2015-01-05,12:04:25
260,2015-01-05,12:06:27
261,2015-01-05,12:38:29
262,2015-01-05,12:42:01
263,2015-01-05,12:57:22
264,2015-01-05,13:03:59
265,2015-01-05,13:04:42
266,2015-01-05,13:09:29
267,2015-01-05,13:37:50
268,2015-01-05,13:40:46
269,2015-01-05,13:49:34
270,2015-01-05,14:09:02
271,2015-01-05,14:22:19
272,2015-01-05,14:24:05
273,2015-01-05,14:28:00
274,2015-01-05,14:36:33
275,2015-01-05,14:38:14
276,2015-01-05,15:18:18
277,2015-01-05,15:41:50
278,2015-01-05,15:49:21
279,2015-01-05,16:07:03
280,2015-01-05,16:20:23
281,2015-01-05,16:33:48
282,2015-01-05,16:49:38
283,2015-01-05,16:51:43
284,2015-01-05,16:58:16
285,2015-01-05,16:58:38
286,2015-01-05,17:01:23
287,2015-01-05,17:30:09
288,2015-01-05,17:32:44
289,2015-01-05,17:36:23
290,2015-01-05,17:41:16
291,2015-01-05,17:44:39
292,2015-01-05,17:48:59
293,2015-01-05,17:58:38
294,2015-01-05,18:16:35
295,2015-01-05,18:20:12
296,2015-01-05,18:46:54
297,2015-01-05,19:02:18
298,2015-01-05,19:10:36
299,2015-01-05,19:34:31
300,2015-01-05,19:42:54
301,2015-01-05,19:45:58
302,2015-01-05,19:57:37
303,2015-01-05,20:02:51
304,2015-01-05,20:07:58
305,2015-01-05,20:35:40
306,2015-01-05,20:37:40
307,2015-01-05,21:45:38
308,2015-01-05,21:59:46
309,2015-01-06,11:39:06
310,2015-01-06,11:40:48
311,2015-01-06,11:57:27
312,2015-01-06,12:05:21
313,2015-01-06,12:09:09
314,2015-01-06,12:11:58
315,2015-01-06,12:17:40
316,2015-01-06,12:29:34
317,2015-01-06,12:31:00
318,2015-01-06,12:45:14
319,2015-01-06,12:46:22
320,2015-01-06,12:46:40
321,2015-01-06,12:56:21
322,2015-01-06,13:02:13
323,2015-01-06,13:05:33
324,2015-01-06,13:06:44
325,2015-01-06,13:07:32
326,2015-01-06,13:10:13
327,2015-01-06,13:10:54
328,2015-01-06,13:16:35
329,2015-01-06,13:22:44
330,2015-01-06,13:27:11
331,2015-01-06,13:43:30
332,2015-01-06,14:12:01
333,2015-01-06,14:16:36
334,2015-01-06,14:24:18
335,2015-01-06,14:24:47
336,2015-01-06,14:51:41
337,2015-01-06,15:03:12
338,2015-01-06,15:18:26
339,2015-01-06,15:25:13
340,2015-01-06,15:35:32
341,2015-01-06,15:35:47
342,2015-01-06,15:44:12
343,2015-01-06,15:45:37
344,2015-01-06,16:01:11
345,2015-01-06,16:01:47
346,2015-01-06,16:30:00
347,2015-01-06,16:37:17
348,2015-01-06,16:49:12
349,2015-01-06,17:25:58
350,2015-01-06,17:37:05
351,2015-01-06,17:37:29
352,2015-01-06,17:45:48
353,2015-01-06,17:59:48
354,2015-01-06,18:01:44
355,2015-01-06,18:14:45
356,2015-01-06,18:16:05
357,2015-01-06,18:27:58
358,2015-01-06,18:30:12
359,2015-01-06,18:33:08
360,2015-01-06,18:50:38
361,2015-01-06,19:12:38
362,2015-01-06,19:13:36
363,2015-01-06,19:20:31
364,2015-01-06,19:27:24
365,2015-01-06,19:37:26
366,2015-01-06,20:04:20
367,2015-01-06,20:05:12
368,2015-01-06,20:28:16
369,2015-01-06,20:30:06
370,2015-01-06,21:02:30
371,2015-01-06,21:15:20
372,2015-01-06,22:26:59
373,2015-01-07,11:45:18
374,2015-01-07,11:55:59
375,2015-01-07,11:58:36
376,2015-01-07,12:01:17
377,2015-01-07,12:03:18
378,2015-01-07,12:19:37
379,2015-01-07,12:25:37
380,2015-01-07,12:32:10
381,2015-01-07,12:33:06
382,2015-01-07,12:33:07
383,2015-01-07,12:43:59
384,2015-01-07,12:51:46
385,2015-01-07,12:54:19
386,2015-01-07,12:58:16
387,2015-01-07,13:03:14
388,2015-01-07,13:04:56
389,2015-01-07,13:10:17
390,2015-01-07,13:15:32
391,2015-01-07,13:25:31
392,2015-01-07,13:36:47
393,2015-01-07,13:48:31
394,2015-01-07,14:02:18
395,2015-01-07,14:11:08
396,2015-01-07,14:12:21
397,2015-01-07,14:31:10
398,2015-01-07,14:56:26
399,2015-01-07,15:47:49
400,2015-01-07,16:03:07
401,2015-01-07,16:08:35
402,2015-01-07,16:24:46
403,2015-01-07,16:26:10
404,2015-01-07,16:39:27
405,2015-01-07,16:44:16
406,2015-01-07,16:50:49
407,2015-01-07,16:56:42
408,2015-01-07,17:09:09
409,2015-01-07,17:15:04
410,2015-01-07,17:33:49
411,2015-01-07,17:58:09
412,2015-01-07,18:07:46
413,2015-01-07,18:11:32
414,2015-01-07,18:13:22
415,2015-01-07,18:16:23
416,2015-01-07,18:17:42
417,2015-01-07,18:24:40
418,2015-01-07,18:40:11
419,2015-01-07,19:02:31
420,2015-01-07,19:04:40
421,2015-01-07,19:21:58
422,2015-01-07,19:30:25
423,2015-01-07,19:45:07
424,2015-01-07,20:01:28
425,2015-01-07,20:21:19
426,2015-01-07,20:25:45
427,2015-01-07,21:49:00
428,2015-01-07,22:05:00
429,2015-01-07,22:16:53
430,2015-01-07,22:46:13
431,2015-01-08,11:17:13
432,2015-01-08,11:39:07
433,2015-01-08,11:49:50
434,2015-01-08,11:54:14
435,2015-01-08,12:06:09
436,2015-01-08,12:07:21
437,2015-01-08,12:07:54
438,2015-01-08,12:08:38
439,2015-01-08,12:13:08
440,2015-01-08,12:16:34
441,2015-01-08,12:16:58
442,2015-01-08,12:28:49
443,2015-01-08,12:34:20
444,2015-01-08,12:40:05
445,2015-01-08,12:57:39
446,2015-01-08,12:58:01
447,2015-01-08,13:02:00
448,2015-01-08,13:03:34
449,2015-01-08,13:04:15
450,2015-01-08,13:07:53
451,2015-01-08,13:19:06
452,2015-01-08,13:24:11
453,2015-01-08,13:27:14
454,2015-01-08,13:31:40
455,2015-01-08,13:39:14
456,2015-01-08,13:47:53
457,2015-01-08,13:59:04
458,2015-01-08,14:00:05
459,2015-01-08,14:14:02
460,2015-01-08,14:19:58
461,2015-01-08,14:21:19
462,2015-01-08,14:38:41
463,2015-01-08,14:40:28
464,2015-01-08,14:49:01
465,2015-01-08,14:55:23
466,2015-01-08,15:30:10
467,2015-01-08,15:33:13
468,2015-01-08,15:36:12
469,2015-01-08,15:37:18
470,2015-01-08,15:49:13
471,2015-01-08,16:20:26
472,2015-01-08,16:29:50
473,2015-01-08,16:41:27
474,2015-01-08,16:47:48
475,2015-01-08,17:15:17
476,2015-01-08,17:27:56
477,2015-01-08,17:30:04
478,2015-01-08,17:35:56
479,2015-01-08,17:37:03
480,2015-01-08,17:41:31
481,2015-01-08,17:41:37
482,2015-01-08,17:52:42
483,2015-01-08,17:54:05
484,2015-01-08,18:02:54
485,2015-01-08,18:07:31
486,2015-01-08,18:15:08
487,2015-01-08,18:30:16
488,2015-01-08,18:46:02
489,2015-01-08,18:48:43
490,2015-01-08,18:49:24
491,2015-01-08,19:01:12
492,2015-01-08,19:06:21
493,2015-01-08,19:31:47
494,2015-01-08,19:38:40
495,2015-01-08,19:42:52
496,2015-01-08,19:46:18
497,2015-01-08,19:49:26
498,2015-01-08,20:02:25
499,2015-01-08,21:10:46
500,2015-01-08,21:46:49
501,2015-01-08,21:51:31
502,2015-01-08,22:26:08
503,2015-01-09,11:16:21
504,2015-01-09,11:48:18
505,2015-01-09,11:55:10
506,2015-01-09,12:02:09
507,2015-01-09,12:06:03
508,2015-01-09,12:13:32
509,2015-01-09,12:13:58
510,2015-01-09,12:15:03
511,2015-01-09,12:18:21
512,2015-01-09,12:19:24
513,2015-01-09,12:22:48
514,2015-01-09,12:26:47
515,2015-01-09,13:07:37
516,2015-01-09,13:09:09
517,2015-01-09,13:09:11
518,2015-01-09,13:11:25
519,2015-01-09,13:15:20
520,2015-01-09,13:22:33
521,2015-01-09,13:43:07
522,2015-01-09,14:09:33
523,2015-01-09,14:42:14
524,2015-01-09,14:51:35
525,2015-01-09,15:08:46
526,2015-01-09,15:10:13
527,2015-01-09,15:23:37
528,2015-01-09,15:27:21
529,2015-01-09,15:31:01
530,2015-01-09,15:43:01
531,2015-01-09,15:58:10
532,2015-01-09,16:14:28
533,2015-01-09,16:28:43
534,2015-01-09,16:43:32
535,2015-01-09,17:08:47
536,2015-01-09,17:18:50
537,2015-01-09,17:23:52
538,2015-01-09,17:44:04
539,2015-01-09,17:51:34
540,2015-01-09,17:52:41
541,2015-01-09,18:07:47
542,2015-01-09,18:08:06
543,2015-01-09,18:23:59
544,2015-01-09,18:31:04
545,2015-01-09,18:46:28
546,2015-01-09,18:47:27
547,2015-01-09,18:49:23
548,2015-01-09,19:06:09
549,2015-01-09,19:06:34
550,2015-01-09,19:12:59
551,2015-01-09,19:26:24
552,2015-01-09,19:31:25
553,2015-01-09,20:14:47
554,2015-01-09,20:15:51
555,2015-01-09,20:18:25
556,2015-01-09,20:23:12
